Namespace(batch_size=8, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='ognet_1024_b8_lr3', k=20, lr=0.0003, model='ognet', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Test 53, loss: 1.598751, test acc: 0.890194, test avg acc: 0.839227
Train 54, loss: 1.644131, train acc: 0.878455, train avg acc: 0.821149
Test 54, loss: 1.592928, test acc: 0.893031, test avg acc: 0.860773
Train 55, loss: 1.635525, train acc: 0.885061, train avg acc: 0.831973
Test 55, loss: 1.602462, test acc: 0.895462, test avg acc: 0.848802
Train 56, loss: 1.626262, train acc: 0.885976, train avg acc: 0.834755
Test 56, loss: 1.611513, test acc: 0.877229, test avg acc: 0.842093
Train 57, loss: 1.629873, train acc: 0.886484, train avg acc: 0.832608
Test 57, loss: 1.591563, test acc: 0.893436, test avg acc: 0.847826
Train 58, loss: 1.625861, train acc: 0.885366, train avg acc: 0.831265
Test 58, loss: 1.573082, test acc: 0.905997, test avg acc: 0.855959
Train 59, loss: 1.616323, train acc: 0.896443, train avg acc: 0.847249
Test 59, loss: 1.562978, test acc: 0.899514, test avg acc: 0.849721
Train 60, loss: 1.614903, train acc: 0.893699, train avg acc: 0.841128
Test 60, loss: 1.560989, test acc: 0.899514, test avg acc: 0.867797
Train 61, loss: 1.620189, train acc: 0.891667, train avg acc: 0.839757
Test 61, loss: 1.586402, test acc: 0.904376, test avg acc: 0.855395
Train 62, loss: 1.616531, train acc: 0.891870, train avg acc: 0.842707
Test 62, loss: 1.549436, test acc: 0.904781, test avg acc: 0.854058
Train 63, loss: 1.606065, train acc: 0.894004, train avg acc: 0.844643
Test 63, loss: 1.573932, test acc: 0.896272, test avg acc: 0.856965
Train 64, loss: 1.608012, train acc: 0.893699, train avg acc: 0.842427
Test 64, loss: 1.565906, test acc: 0.894652, test avg acc: 0.866262
Train 65, loss: 1.607440, train acc: 0.894106, train avg acc: 0.843918
Test 65, loss: 1.587117, test acc: 0.901540, test avg acc: 0.874337
Train 66, loss: 1.606871, train acc: 0.895732, train avg acc: 0.846555
Test 66, loss: 1.612662, test acc: 0.882901, test avg acc: 0.844314
Train 67, loss: 1.602156, train acc: 0.904065, train avg acc: 0.859884
Test 67, loss: 1.571126, test acc: 0.888979, test avg acc: 0.840140
Train 68, loss: 1.611920, train acc: 0.893293, train avg acc: 0.844008
Test 68, loss: 1.539709, test acc: 0.907212, test avg acc: 0.874000
Train 69, loss: 1.595505, train acc: 0.898577, train avg acc: 0.850590
Test 69, loss: 1.579072, test acc: 0.896272, test avg acc: 0.845081
Train 70, loss: 1.600774, train acc: 0.898476, train avg acc: 0.852283
Test 70, loss: 1.603406, test acc: 0.891005, test avg acc: 0.868419
Train 71, loss: 1.594079, train acc: 0.904268, train avg acc: 0.855333
Test 71, loss: 1.589777, test acc: 0.887763, test avg acc: 0.852965
Train 72, loss: 1.592456, train acc: 0.901118, train avg acc: 0.855530
Test 72, loss: 1.541521, test acc: 0.911264, test avg acc: 0.868169
Train 73, loss: 1.582706, train acc: 0.906402, train avg acc: 0.860415
Test 73, loss: 1.549457, test acc: 0.902350, test avg acc: 0.864343
Train 74, loss: 1.575415, train acc: 0.908435, train avg acc: 0.861022
Test 74, loss: 1.555054, test acc: 0.899109, test avg acc: 0.861017
Train 75, loss: 1.577930, train acc: 0.908435, train avg acc: 0.867356
Test 75, loss: 1.595723, test acc: 0.903566, test avg acc: 0.856831
Train 76, loss: 1.579095, train acc: 0.906707, train avg acc: 0.863909
Test 76, loss: 1.615398, test acc: 0.886143, test avg acc: 0.855302
Train 77, loss: 1.575181, train acc: 0.907419, train avg acc: 0.866043
Test 77, loss: 1.576933, test acc: 0.912885, test avg acc: 0.865506
Train 78, loss: 1.575157, train acc: 0.905691, train avg acc: 0.860706
Test 78, loss: 1.572360, test acc: 0.908023, test avg acc: 0.869163
Train 79, loss: 1.567775, train acc: 0.908841, train avg acc: 0.867602
Test 79, loss: 1.549288, test acc: 0.897893, test avg acc: 0.855017
Train 80, loss: 1.566661, train acc: 0.907622, train avg acc: 0.865829
Test 80, loss: 1.529580, test acc: 0.905592, test avg acc: 0.849041
Train 81, loss: 1.563036, train acc: 0.911890, train avg acc: 0.868375
Test 81, loss: 1.547513, test acc: 0.915316, test avg acc: 0.877000
Train 82, loss: 1.559134, train acc: 0.912703, train avg acc: 0.869785
Test 82, loss: 1.591435, test acc: 0.897893, test avg acc: 0.870424
Train 83, loss: 1.560345, train acc: 0.912907, train avg acc: 0.871373
Test 83, loss: 1.555579, test acc: 0.908833, test avg acc: 0.862163
Train 84, loss: 1.561129, train acc: 0.914228, train avg acc: 0.870169
Test 84, loss: 1.569342, test acc: 0.898703, test avg acc: 0.864041
Train 85, loss: 1.559627, train acc: 0.911585, train avg acc: 0.869061
Test 85, loss: 1.586546, test acc: 0.906807, test avg acc: 0.868122
Train 86, loss: 1.561993, train acc: 0.910569, train avg acc: 0.869388
Test 86, loss: 1.559396, test acc: 0.899109, test avg acc: 0.850337
Train 87, loss: 1.559331, train acc: 0.911789, train avg acc: 0.871606
Test 87, loss: 1.561883, test acc: 0.908833, test avg acc: 0.874878
Train 88, loss: 1.554673, train acc: 0.914126, train avg acc: 0.873333
Test 88, loss: 1.542026, test acc: 0.901540, test avg acc: 0.867756
Train 89, loss: 1.552168, train acc: 0.913618, train avg acc: 0.871253
Test 89, loss: 1.546101, test acc: 0.904376, test avg acc: 0.866116
Train 90, loss: 1.545627, train acc: 0.920833, train avg acc: 0.883368
Test 90, loss: 1.555891, test acc: 0.901945, test avg acc: 0.877890
Train 91, loss: 1.544370, train acc: 0.917073, train avg acc: 0.880503
Test 91, loss: 1.553668, test acc: 0.905592, test avg acc: 0.861337
Train 92, loss: 1.545947, train acc: 0.916057, train avg acc: 0.872450
Test 92, loss: 1.514048, test acc: 0.915721, test avg acc: 0.880198
Train 93, loss: 1.541376, train acc: 0.917886, train avg acc: 0.879839
Test 93, loss: 1.540047, test acc: 0.901945, test avg acc: 0.861640
Train 94, loss: 1.536350, train acc: 0.919817, train avg acc: 0.879265
Test 94, loss: 1.557929, test acc: 0.905186, test avg acc: 0.870831
Train 95, loss: 1.537634, train acc: 0.920528, train avg acc: 0.883397
Test 95, loss: 1.532876, test acc: 0.903971, test avg acc: 0.867221
Train 96, loss: 1.539198, train acc: 0.916565, train avg acc: 0.880124
Test 96, loss: 1.561826, test acc: 0.899514, test avg acc: 0.865814
Train 97, loss: 1.534592, train acc: 0.919614, train avg acc: 0.881456
Test 97, loss: 1.539225, test acc: 0.909643, test avg acc: 0.868256
Train 98, loss: 1.533926, train acc: 0.919715, train avg acc: 0.881416
Test 98, loss: 1.561360, test acc: 0.909238, test avg acc: 0.864256
Train 99, loss: 1.529371, train acc: 0.923577, train avg acc: 0.884194
Test 99, loss: 1.574432, test acc: 0.890600, test avg acc: 0.863052
Train 100, loss: 1.528499, train acc: 0.923679, train avg acc: 0.888517
Test 100, loss: 1.530657, test acc: 0.901540, test avg acc: 0.849547
Train 101, loss: 1.519007, train acc: 0.928354, train avg acc: 0.895190
Test 101, loss: 1.576744, test acc: 0.896677, test avg acc: 0.870924
Train 102, loss: 1.527058, train acc: 0.922967, train avg acc: 0.887496
Test 102, loss: 1.536928, test acc: 0.914506, test avg acc: 0.875756
Train 103, loss: 1.519552, train acc: 0.926524, train avg acc: 0.892672
Test 103, loss: 1.563487, test acc: 0.901540, test avg acc: 0.868494
Train 104, loss: 1.516619, train acc: 0.927744, train avg acc: 0.894374
Test 104, loss: 1.524836, test acc: 0.903160, test avg acc: 0.866762
Train 105, loss: 1.521861, train acc: 0.926321, train avg acc: 0.887849
Test 105, loss: 1.570698, test acc: 0.908833, test avg acc: 0.863256
Train 106, loss: 1.515569, train acc: 0.928760, train avg acc: 0.894861
Test 106, loss: 1.534277, test acc: 0.901540, test avg acc: 0.877459
Train 107, loss: 1.513331, train acc: 0.928963, train avg acc: 0.895147
Test 107, loss: 1.559218, test acc: 0.890194, test avg acc: 0.867448
Train 108, loss: 1.515994, train acc: 0.927744, train avg acc: 0.892658
Test 108, loss: 1.526420, test acc: 0.910859, test avg acc: 0.874419
Train 109, loss: 1.508437, train acc: 0.930589, train avg acc: 0.898026
Test 109, loss: 1.522425, test acc: 0.908023, test avg acc: 0.865890
Train 110, loss: 1.507866, train acc: 0.930691, train avg acc: 0.897605
Test 110, loss: 1.524084, test acc: 0.912885, test avg acc: 0.875087
Train 111, loss: 1.501789, train acc: 0.930894, train avg acc: 0.896918
Test 111, loss: 1.553105, test acc: 0.894652, test avg acc: 0.866419
Train 112, loss: 1.500597, train acc: 0.933435, train avg acc: 0.900442
Test 112, loss: 1.583592, test acc: 0.886548, test avg acc: 0.869459
Train 113, loss: 1.504710, train acc: 0.933130, train avg acc: 0.901094
Test 113, loss: 1.527343, test acc: 0.908428, test avg acc: 0.873064
Train 114, loss: 1.492458, train acc: 0.936382, train avg acc: 0.904475
Test 114, loss: 1.521335, test acc: 0.904376, test avg acc: 0.862837
Train 115, loss: 1.495460, train acc: 0.934858, train avg acc: 0.903003
Test 115, loss: 1.549557, test acc: 0.894652, test avg acc: 0.871895
Train 116, loss: 1.498728, train acc: 0.933333, train avg acc: 0.900931
Test 116, loss: 1.518294, test acc: 0.906807, test avg acc: 0.875593
Train 117, loss: 1.490984, train acc: 0.937297, train avg acc: 0.906888
Test 117, loss: 1.503969, test acc: 0.922204, test avg acc: 0.889250
Train 118, loss: 1.487312, train acc: 0.939228, train avg acc: 0.911768
Test 118, loss: 1.532865, test acc: 0.918152, test avg acc: 0.883081
Train 119, loss: 1.490481, train acc: 0.937297, train avg acc: 0.906344
Test 119, loss: 1.512710, test acc: 0.917342, test avg acc: 0.882913
Train 120, loss: 1.493628, train acc: 0.935366, train avg acc: 0.904416
Test 120, loss: 1.536334, test acc: 0.901135, test avg acc: 0.864221
Train 121, loss: 1.483631, train acc: 0.938923, train avg acc: 0.909512
Test 121, loss: 1.533758, test acc: 0.905592, test avg acc: 0.868628
Train 122, loss: 1.483464, train acc: 0.936789, train avg acc: 0.906300
Test 122, loss: 1.510346, test acc: 0.919773, test avg acc: 0.883297
Train 123, loss: 1.478043, train acc: 0.940041, train avg acc: 0.911083
Test 123, loss: 1.532174, test acc: 0.910049, test avg acc: 0.876413
Train 124, loss: 1.482730, train acc: 0.942480, train avg acc: 0.917796
Test 124, loss: 1.512805, test acc: 0.907212, test avg acc: 0.868907
Train 125, loss: 1.477915, train acc: 0.942378, train avg acc: 0.915097
Test 125, loss: 1.514782, test acc: 0.914506, test avg acc: 0.872587
Train 126, loss: 1.478103, train acc: 0.939533, train avg acc: 0.911010
Test 126, loss: 1.501388, test acc: 0.906402, test avg acc: 0.875180
Train 127, loss: 1.478107, train acc: 0.940752, train avg acc: 0.912524
Test 127, loss: 1.524633, test acc: 0.905592, test avg acc: 0.880924
Train 128, loss: 1.474565, train acc: 0.942175, train avg acc: 0.913027
Test 128, loss: 1.514940, test acc: 0.904376, test avg acc: 0.886843
Train 129, loss: 1.476071, train acc: 0.939837, train avg acc: 0.909762
Test 129, loss: 1.520718, test acc: 0.912480, test avg acc: 0.879035
Train 130, loss: 1.470357, train acc: 0.942988, train avg acc: 0.913167
Test 130, loss: 1.519453, test acc: 0.902350, test avg acc: 0.872959
Train 131, loss: 1.464811, train acc: 0.947663, train avg acc: 0.922866
Test 131, loss: 1.510511, test acc: 0.914911, test avg acc: 0.880285
Train 132, loss: 1.472587, train acc: 0.942175, train avg acc: 0.914478
Test 132, loss: 1.509438, test acc: 0.917747, test avg acc: 0.884616
Train 133, loss: 1.462600, train acc: 0.949085, train avg acc: 0.922489
Test 133, loss: 1.526739, test acc: 0.915316, test avg acc: 0.871715
Train 134, loss: 1.461858, train acc: 0.945020, train avg acc: 0.917409
Test 134, loss: 1.520980, test acc: 0.903160, test avg acc: 0.872331
Train 135, loss: 1.456795, train acc: 0.949492, train avg acc: 0.922826
Test 135, loss: 1.513622, test acc: 0.918558, test avg acc: 0.880703
Train 136, loss: 1.459389, train acc: 0.946138, train avg acc: 0.921043
Test 136, loss: 1.517064, test acc: 0.906402, test avg acc: 0.878267
Train 137, loss: 1.454325, train acc: 0.947459, train avg acc: 0.923860
Test 137, loss: 1.533053, test acc: 0.903566, test avg acc: 0.878169
Train 138, loss: 1.453607, train acc: 0.949797, train avg acc: 0.925263
Test 138, loss: 1.509838, test acc: 0.904781, test avg acc: 0.872372
Train 139, loss: 1.453793, train acc: 0.950407, train avg acc: 0.927882
Test 139, loss: 1.539812, test acc: 0.898298, test avg acc: 0.878203
Train 140, loss: 1.453176, train acc: 0.948882, train avg acc: 0.924291
Test 140, loss: 1.528692, test acc: 0.906807, test avg acc: 0.869052
Train 141, loss: 1.448010, train acc: 0.951829, train avg acc: 0.927591
Test 141, loss: 1.517499, test acc: 0.917342, test avg acc: 0.887512
Train 142, loss: 1.444490, train acc: 0.952744, train avg acc: 0.929052
Test 142, loss: 1.508455, test acc: 0.906807, test avg acc: 0.880128
Train 143, loss: 1.444770, train acc: 0.951220, train avg acc: 0.924414
Test 143, loss: 1.495895, test acc: 0.926661, test avg acc: 0.889576
Train 144, loss: 1.441784, train acc: 0.952439, train avg acc: 0.929788
Test 144, loss: 1.515242, test acc: 0.914100, test avg acc: 0.877709
Train 145, loss: 1.441286, train acc: 0.952642, train avg acc: 0.927964
Test 145, loss: 1.503976, test acc: 0.908023, test avg acc: 0.870372
Train 146, loss: 1.439957, train acc: 0.957317, train avg acc: 0.935646
Test 146, loss: 1.528159, test acc: 0.909238, test avg acc: 0.884541
Train 147, loss: 1.441123, train acc: 0.954980, train avg acc: 0.932987
Test 147, loss: 1.523189, test acc: 0.908833, test avg acc: 0.876122
Train 148, loss: 1.439769, train acc: 0.952744, train avg acc: 0.930195
