Namespace(batch_size=32, dataset='modelnet40', dropout=0.0, emb_dims=1024, epochs=250, eval=False, exp_name='ognet_1024_d0', k=20, lr=0.001, model='ognet', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 3 devices
Namespace(batch_size=32, dataset='modelnet40', dropout=0.0, emb_dims=1024, epochs=250, eval=False, exp_name='ognet_1024_d0', k=20, lr=0.001, model='ognet', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Namespace(batch_size=32, dataset='modelnet40', dropout=0.0, emb_dims=1024, epochs=250, eval=False, exp_name='ognet_1024_d0', k=20, lr=0.001, model='ognet', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Train 99, loss: 1.395118, train acc: 0.954805, train avg acc: 0.930880
Test 99, loss: 1.549200, test acc: 0.891005, test avg acc: 0.849407
Train 100, loss: 1.396371, train acc: 0.954397, train avg acc: 0.932814
Test 100, loss: 1.553398, test acc: 0.889789, test avg acc: 0.855826
Train 101, loss: 1.397664, train acc: 0.954194, train avg acc: 0.929080
Test 101, loss: 1.509877, test acc: 0.901945, test avg acc: 0.853169
Train 102, loss: 1.389005, train acc: 0.956739, train avg acc: 0.936267
Test 102, loss: 1.520184, test acc: 0.891005, test avg acc: 0.852547
Train 103, loss: 1.388998, train acc: 0.957146, train avg acc: 0.934999
Test 103, loss: 1.504473, test acc: 0.909238, test avg acc: 0.865163
Train 104, loss: 1.393334, train acc: 0.958774, train avg acc: 0.936276
Test 104, loss: 1.509640, test acc: 0.905592, test avg acc: 0.868797
Train 105, loss: 1.386237, train acc: 0.957757, train avg acc: 0.938350
Test 105, loss: 1.511883, test acc: 0.908428, test avg acc: 0.867750
Train 106, loss: 1.387523, train acc: 0.958367, train avg acc: 0.936228
Test 106, loss: 1.528600, test acc: 0.894246, test avg acc: 0.859843
Train 107, loss: 1.380225, train acc: 0.961828, train avg acc: 0.943146
Test 107, loss: 1.532041, test acc: 0.897488, test avg acc: 0.864006
Train 108, loss: 1.381359, train acc: 0.958469, train avg acc: 0.937858
Test 108, loss: 1.499711, test acc: 0.908833, test avg acc: 0.857930
Train 109, loss: 1.380946, train acc: 0.959182, train avg acc: 0.937537
Test 109, loss: 1.505079, test acc: 0.904781, test avg acc: 0.871512
Train 110, loss: 1.383424, train acc: 0.960912, train avg acc: 0.943516
Test 110, loss: 1.511366, test acc: 0.903566, test avg acc: 0.861308
Train 111, loss: 1.382424, train acc: 0.957858, train avg acc: 0.937829
Test 111, loss: 1.496472, test acc: 0.916126, test avg acc: 0.881820
Train 112, loss: 1.379634, train acc: 0.960200, train avg acc: 0.938896
Test 112, loss: 1.498485, test acc: 0.910859, test avg acc: 0.880587
Train 113, loss: 1.377876, train acc: 0.960200, train avg acc: 0.941263
Test 113, loss: 1.526991, test acc: 0.899109, test avg acc: 0.868593
Train 114, loss: 1.377918, train acc: 0.961217, train avg acc: 0.941773
Test 114, loss: 1.494575, test acc: 0.918152, test avg acc: 0.881785
Train 115, loss: 1.372755, train acc: 0.962643, train avg acc: 0.943535
Test 115, loss: 1.511283, test acc: 0.903160, test avg acc: 0.865186
Train 116, loss: 1.370572, train acc: 0.966307, train avg acc: 0.948760
Test 116, loss: 1.490225, test acc: 0.911669, test avg acc: 0.878541
Train 117, loss: 1.370900, train acc: 0.964984, train avg acc: 0.947460
Test 117, loss: 1.477587, test acc: 0.921799, test avg acc: 0.881244
Train 118, loss: 1.370904, train acc: 0.963050, train avg acc: 0.944013
Test 118, loss: 1.501424, test acc: 0.903971, test avg acc: 0.875692
Train 119, loss: 1.368079, train acc: 0.967121, train avg acc: 0.951553
Test 119, loss: 1.507960, test acc: 0.901135, test avg acc: 0.865267
Train 120, loss: 1.363163, train acc: 0.967427, train avg acc: 0.950716
Test 120, loss: 1.490940, test acc: 0.907618, test avg acc: 0.868180
Train 121, loss: 1.365146, train acc: 0.966205, train avg acc: 0.950960
Test 121, loss: 1.496828, test acc: 0.910454, test avg acc: 0.878919
Train 122, loss: 1.367879, train acc: 0.965493, train avg acc: 0.948753
Test 122, loss: 1.514203, test acc: 0.894652, test avg acc: 0.860506
Train 123, loss: 1.364751, train acc: 0.966511, train avg acc: 0.950476
Test 123, loss: 1.479364, test acc: 0.919773, test avg acc: 0.886331
Train 124, loss: 1.363414, train acc: 0.967020, train avg acc: 0.951047
Test 124, loss: 1.506525, test acc: 0.905186, test avg acc: 0.871285
Train 125, loss: 1.360993, train acc: 0.967630, train avg acc: 0.949887
Test 125, loss: 1.493183, test acc: 0.905186, test avg acc: 0.875634
Train 126, loss: 1.362378, train acc: 0.966002, train avg acc: 0.950052
Test 126, loss: 1.499421, test acc: 0.915721, test avg acc: 0.879500
Train 127, loss: 1.363340, train acc: 0.968445, train avg acc: 0.953283
Test 127, loss: 1.495498, test acc: 0.911669, test avg acc: 0.886145
Train 128, loss: 1.358068, train acc: 0.969259, train avg acc: 0.952852
Test 128, loss: 1.491828, test acc: 0.908833, test avg acc: 0.872337
Train 129, loss: 1.356966, train acc: 0.968648, train avg acc: 0.952359
Test 129, loss: 1.487162, test acc: 0.914100, test avg acc: 0.881203
Train 130, loss: 1.358756, train acc: 0.968241, train avg acc: 0.952438
Test 130, loss: 1.504154, test acc: 0.897893, test avg acc: 0.863349
Train 131, loss: 1.358267, train acc: 0.968037, train avg acc: 0.952916
Test 131, loss: 1.505486, test acc: 0.900729, test avg acc: 0.865616
Train 132, loss: 1.357007, train acc: 0.968139, train avg acc: 0.952531
Test 132, loss: 1.492637, test acc: 0.905186, test avg acc: 0.879593
Train 133, loss: 1.355057, train acc: 0.969463, train avg acc: 0.954231
Test 133, loss: 1.515747, test acc: 0.899514, test avg acc: 0.878250
Train 134, loss: 1.357976, train acc: 0.969055, train avg acc: 0.955261
Test 134, loss: 1.479673, test acc: 0.916532, test avg acc: 0.885709
Train 135, loss: 1.349220, train acc: 0.971397, train avg acc: 0.958600
Test 135, loss: 1.474178, test acc: 0.920178, test avg acc: 0.885081
Train 136, loss: 1.353267, train acc: 0.968954, train avg acc: 0.953342
Test 136, loss: 1.488079, test acc: 0.913695, test avg acc: 0.878750
Train 137, loss: 1.345689, train acc: 0.972313, train avg acc: 0.959358
Test 137, loss: 1.478013, test acc: 0.920989, test avg acc: 0.881953
Train 138, loss: 1.344316, train acc: 0.973738, train avg acc: 0.960498
Test 138, loss: 1.505336, test acc: 0.901945, test avg acc: 0.862465
Train 139, loss: 1.344283, train acc: 0.973331, train avg acc: 0.960438
Test 139, loss: 1.471208, test acc: 0.914506, test avg acc: 0.881413
Train 140, loss: 1.341348, train acc: 0.974756, train avg acc: 0.963399
Test 140, loss: 1.478463, test acc: 0.916532, test avg acc: 0.880331
Train 141, loss: 1.343537, train acc: 0.973941, train avg acc: 0.961795
Test 141, loss: 1.484589, test acc: 0.917342, test avg acc: 0.885174
Train 142, loss: 1.339933, train acc: 0.975265, train avg acc: 0.963906
Test 142, loss: 1.489052, test acc: 0.911669, test avg acc: 0.874174
Train 143, loss: 1.342582, train acc: 0.975061, train avg acc: 0.964827
Test 143, loss: 1.477089, test acc: 0.915721, test avg acc: 0.878419
Train 144, loss: 1.337713, train acc: 0.974145, train avg acc: 0.961202
Test 144, loss: 1.494380, test acc: 0.909643, test avg acc: 0.878936
Train 145, loss: 1.335921, train acc: 0.976384, train avg acc: 0.966152
Test 145, loss: 1.472865, test acc: 0.914100, test avg acc: 0.877465
Train 146, loss: 1.335882, train acc: 0.976283, train avg acc: 0.965108
