Namespace(batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='ognet_1024_small_d0.5', k=20, lr=0.001, model='ognet-small', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Test 77, loss: 1.520768, test acc: 0.905592, test avg acc: 0.854797
Train 78, loss: 1.474309, train acc: 0.934243, train avg acc: 0.898917
Test 78, loss: 1.531002, test acc: 0.900324, test avg acc: 0.856680
Train 79, loss: 1.476428, train acc: 0.928848, train avg acc: 0.890973
Test 79, loss: 1.533851, test acc: 0.900729, test avg acc: 0.854453
Train 80, loss: 1.473933, train acc: 0.930375, train avg acc: 0.893318
Test 80, loss: 1.561088, test acc: 0.891815, test avg acc: 0.843297
Train 81, loss: 1.471303, train acc: 0.932207, train avg acc: 0.895887
Test 81, loss: 1.545866, test acc: 0.893031, test avg acc: 0.859302
Train 82, loss: 1.468443, train acc: 0.932410, train avg acc: 0.897391
Test 82, loss: 1.536150, test acc: 0.892220, test avg acc: 0.855791
Train 83, loss: 1.469436, train acc: 0.934344, train avg acc: 0.898905
Test 83, loss: 1.552684, test acc: 0.892220, test avg acc: 0.854657
Train 84, loss: 1.468701, train acc: 0.931189, train avg acc: 0.896902
Test 84, loss: 1.545231, test acc: 0.899919, test avg acc: 0.856355
Train 85, loss: 1.466051, train acc: 0.934853, train avg acc: 0.903669
Test 85, loss: 1.547632, test acc: 0.893031, test avg acc: 0.862262
Train 86, loss: 1.469539, train acc: 0.932105, train avg acc: 0.897593
Test 86, loss: 1.575558, test acc: 0.878849, test avg acc: 0.840779
Train 87, loss: 1.457941, train acc: 0.937093, train avg acc: 0.906003
Test 87, loss: 1.527414, test acc: 0.895867, test avg acc: 0.857297
Train 88, loss: 1.467850, train acc: 0.935057, train avg acc: 0.901134
Test 88, loss: 1.539754, test acc: 0.891005, test avg acc: 0.848622
Train 89, loss: 1.457247, train acc: 0.936686, train avg acc: 0.902948
Test 89, loss: 1.533132, test acc: 0.897488, test avg acc: 0.853297
Train 90, loss: 1.454624, train acc: 0.937195, train avg acc: 0.903662
Test 90, loss: 1.520230, test acc: 0.906402, test avg acc: 0.880157
Train 91, loss: 1.459867, train acc: 0.936482, train avg acc: 0.904931
Test 91, loss: 1.529662, test acc: 0.897083, test avg acc: 0.861913
Train 92, loss: 1.455729, train acc: 0.938518, train avg acc: 0.908396
Test 92, loss: 1.545329, test acc: 0.886953, test avg acc: 0.858401
Train 93, loss: 1.452136, train acc: 0.941979, train avg acc: 0.911299
Test 93, loss: 1.528553, test acc: 0.909643, test avg acc: 0.867593
Train 94, loss: 1.458220, train acc: 0.937602, train avg acc: 0.906459
Test 94, loss: 1.536862, test acc: 0.899514, test avg acc: 0.853953
Train 95, loss: 1.447850, train acc: 0.944524, train avg acc: 0.915321
Test 95, loss: 1.537705, test acc: 0.893436, test avg acc: 0.857901
Train 96, loss: 1.448701, train acc: 0.940656, train avg acc: 0.911636
Test 96, loss: 1.515751, test acc: 0.907618, test avg acc: 0.860302
Train 97, loss: 1.451182, train acc: 0.942488, train avg acc: 0.913793
Test 97, loss: 1.533076, test acc: 0.897083, test avg acc: 0.868547
Train 98, loss: 1.449197, train acc: 0.941572, train avg acc: 0.912369
Test 98, loss: 1.540026, test acc: 0.891815, test avg acc: 0.865128
Train 99, loss: 1.441897, train acc: 0.943200, train avg acc: 0.913493
Test 99, loss: 1.531025, test acc: 0.896677, test avg acc: 0.865372
Train 100, loss: 1.446354, train acc: 0.940656, train avg acc: 0.913404
Test 100, loss: 1.524333, test acc: 0.892626, test avg acc: 0.842384
Train 101, loss: 1.438637, train acc: 0.944625, train avg acc: 0.913743
Test 101, loss: 1.512546, test acc: 0.903566, test avg acc: 0.866035
Train 102, loss: 1.435668, train acc: 0.947374, train avg acc: 0.919252
Test 102, loss: 1.551572, test acc: 0.884117, test avg acc: 0.846756
Train 103, loss: 1.437016, train acc: 0.945643, train avg acc: 0.917678
Test 103, loss: 1.542372, test acc: 0.890194, test avg acc: 0.858924
Train 104, loss: 1.433814, train acc: 0.946050, train avg acc: 0.918334
Test 104, loss: 1.536526, test acc: 0.894246, test avg acc: 0.845233
Train 105, loss: 1.436903, train acc: 0.945847, train avg acc: 0.918398
Test 105, loss: 1.501393, test acc: 0.904781, test avg acc: 0.858535
Train 106, loss: 1.436680, train acc: 0.944625, train avg acc: 0.917434
Test 106, loss: 1.526750, test acc: 0.904781, test avg acc: 0.870890
Train 107, loss: 1.432104, train acc: 0.945542, train avg acc: 0.916507
Test 107, loss: 1.514239, test acc: 0.906807, test avg acc: 0.873047
Train 108, loss: 1.433157, train acc: 0.948697, train avg acc: 0.921970
Test 108, loss: 1.500731, test acc: 0.914506, test avg acc: 0.877209
Train 109, loss: 1.426346, train acc: 0.949919, train avg acc: 0.924224
Test 109, loss: 1.532148, test acc: 0.897083, test avg acc: 0.861686
Train 110, loss: 1.424916, train acc: 0.951038, train avg acc: 0.926248
Test 110, loss: 1.529398, test acc: 0.905186, test avg acc: 0.870913
Train 111, loss: 1.422649, train acc: 0.951751, train avg acc: 0.928484
Test 111, loss: 1.507904, test acc: 0.906807, test avg acc: 0.863872
Train 112, loss: 1.423031, train acc: 0.952260, train avg acc: 0.929883
Test 112, loss: 1.507825, test acc: 0.903971, test avg acc: 0.867047
Train 113, loss: 1.423650, train acc: 0.951344, train avg acc: 0.926439
Test 113, loss: 1.508111, test acc: 0.912075, test avg acc: 0.873866
Train 114, loss: 1.424144, train acc: 0.949715, train avg acc: 0.924140
Test 114, loss: 1.511563, test acc: 0.911669, test avg acc: 0.870087
Train 115, loss: 1.423794, train acc: 0.951038, train avg acc: 0.924943
Test 115, loss: 1.496326, test acc: 0.917747, test avg acc: 0.883826
Train 116, loss: 1.413733, train acc: 0.954805, train avg acc: 0.931000
Test 116, loss: 1.502279, test acc: 0.913290, test avg acc: 0.866703
Train 117, loss: 1.412060, train acc: 0.954092, train avg acc: 0.930973
Test 117, loss: 1.504977, test acc: 0.911264, test avg acc: 0.864407
Train 118, loss: 1.411932, train acc: 0.953176, train avg acc: 0.928091
Test 118, loss: 1.506429, test acc: 0.906402, test avg acc: 0.873041
Train 119, loss: 1.410877, train acc: 0.955822, train avg acc: 0.933469
Test 119, loss: 1.540044, test acc: 0.896677, test avg acc: 0.872390
Train 120, loss: 1.412755, train acc: 0.954092, train avg acc: 0.930602
Test 120, loss: 1.519631, test acc: 0.907618, test avg acc: 0.868581
Train 121, loss: 1.414204, train acc: 0.955212, train avg acc: 0.932063
Test 121, loss: 1.516893, test acc: 0.901540, test avg acc: 0.858703
Train 122, loss: 1.412103, train acc: 0.956637, train avg acc: 0.935347
Test 122, loss: 1.494236, test acc: 0.914506, test avg acc: 0.880250
Train 123, loss: 1.407402, train acc: 0.957146, train avg acc: 0.936906
Test 123, loss: 1.507902, test acc: 0.907212, test avg acc: 0.863000
Train 124, loss: 1.405585, train acc: 0.961116, train avg acc: 0.941385
Test 124, loss: 1.515440, test acc: 0.904781, test avg acc: 0.873924
Train 125, loss: 1.408404, train acc: 0.958571, train avg acc: 0.936884
Test 125, loss: 1.512813, test acc: 0.907212, test avg acc: 0.876587
Train 126, loss: 1.398154, train acc: 0.961625, train avg acc: 0.943092
Test 126, loss: 1.504785, test acc: 0.903160, test avg acc: 0.868855
Train 127, loss: 1.400850, train acc: 0.958571, train avg acc: 0.938023
Test 127, loss: 1.523057, test acc: 0.905186, test avg acc: 0.879494
Train 128, loss: 1.394009, train acc: 0.961930, train avg acc: 0.942538
Test 128, loss: 1.506796, test acc: 0.906402, test avg acc: 0.874244
Train 129, loss: 1.399958, train acc: 0.958978, train avg acc: 0.937899
Test 129, loss: 1.502860, test acc: 0.901540, test avg acc: 0.871343
Train 130, loss: 1.396262, train acc: 0.960301, train avg acc: 0.939291
Test 130, loss: 1.500523, test acc: 0.906807, test avg acc: 0.872372
Train 131, loss: 1.397528, train acc: 0.959691, train avg acc: 0.940168
Test 131, loss: 1.496581, test acc: 0.909643, test avg acc: 0.874512
Train 132, loss: 1.397522, train acc: 0.962643, train avg acc: 0.945988
Test 132, loss: 1.506418, test acc: 0.902350, test avg acc: 0.872884
Train 133, loss: 1.395624, train acc: 0.960607, train avg acc: 0.941000
Test 133, loss: 1.490589, test acc: 0.908428, test avg acc: 0.869703
Train 134, loss: 1.390111, train acc: 0.963355, train avg acc: 0.943793
Test 134, loss: 1.497094, test acc: 0.906807, test avg acc: 0.866087
Train 135, loss: 1.391440, train acc: 0.964169, train avg acc: 0.948339
Test 135, loss: 1.481728, test acc: 0.912885, test avg acc: 0.875744
Train 136, loss: 1.391531, train acc: 0.962439, train avg acc: 0.945267
Test 136, loss: 1.494699, test acc: 0.912480, test avg acc: 0.880163
Train 137, loss: 1.385139, train acc: 0.967325, train avg acc: 0.950900
Test 137, loss: 1.500638, test acc: 0.909643, test avg acc: 0.867448
Train 138, loss: 1.385544, train acc: 0.966002, train avg acc: 0.947299
Test 138, loss: 1.495283, test acc: 0.910049, test avg acc: 0.875797
Train 139, loss: 1.386852, train acc: 0.964882, train avg acc: 0.947912
Test 139, loss: 1.509008, test acc: 0.899919, test avg acc: 0.874500
Train 140, loss: 1.381835, train acc: 0.967223, train avg acc: 0.951182
Test 140, loss: 1.501295, test acc: 0.907618, test avg acc: 0.879419
Train 141, loss: 1.381994, train acc: 0.964271, train avg acc: 0.946782
Test 141, loss: 1.520279, test acc: 0.899109, test avg acc: 0.862866
Train 142, loss: 1.376349, train acc: 0.966612, train avg acc: 0.949491
Test 142, loss: 1.486749, test acc: 0.908428, test avg acc: 0.870134
