Namespace(batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='pointnet_d0.5', k=20, lr=0.001, model='pointnet', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 3 devices
Namespace(batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='pointnet_d0.5', k=20, lr=0.001, model='pointnet', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Test 55, loss: 1.762753, test acc: 0.812399, test avg acc: 0.735372
Train 56, loss: 1.881655, train acc: 0.765269, train avg acc: 0.646050
Test 56, loss: 1.810324, test acc: 0.798217, test avg acc: 0.730866
Train 57, loss: 1.887160, train acc: 0.760688, train avg acc: 0.641696
Test 57, loss: 1.739968, test acc: 0.826580, test avg acc: 0.725703
Train 58, loss: 1.871511, train acc: 0.768730, train avg acc: 0.652148
Test 58, loss: 1.741829, test acc: 0.816451, test avg acc: 0.730105
Train 59, loss: 1.884391, train acc: 0.763131, train avg acc: 0.643635
Test 59, loss: 1.752123, test acc: 0.800648, test avg acc: 0.719971
Train 60, loss: 1.873865, train acc: 0.767814, train avg acc: 0.655811
Test 60, loss: 1.811646, test acc: 0.794571, test avg acc: 0.738099
Train 61, loss: 1.881393, train acc: 0.767508, train avg acc: 0.653989
Test 61, loss: 1.755749, test acc: 0.829417, test avg acc: 0.744506
Train 62, loss: 1.868251, train acc: 0.767610, train avg acc: 0.649896
Test 62, loss: 1.701022, test acc: 0.849271, test avg acc: 0.765477
Train 63, loss: 1.861643, train acc: 0.774735, train avg acc: 0.662389
Test 63, loss: 1.730303, test acc: 0.813209, test avg acc: 0.743512
Train 64, loss: 1.857903, train acc: 0.774735, train avg acc: 0.660626
Test 64, loss: 1.735020, test acc: 0.831442, test avg acc: 0.761320
Train 65, loss: 1.862567, train acc: 0.774226, train avg acc: 0.659342
Test 65, loss: 1.761019, test acc: 0.811183, test avg acc: 0.739576
Train 66, loss: 1.865688, train acc: 0.768526, train avg acc: 0.651231
Test 66, loss: 1.743247, test acc: 0.808752, test avg acc: 0.742250
Train 67, loss: 1.865584, train acc: 0.772089, train avg acc: 0.661167
Test 67, loss: 1.730686, test acc: 0.835900, test avg acc: 0.745942
Train 68, loss: 1.863782, train acc: 0.769748, train avg acc: 0.655500
Test 68, loss: 1.774226, test acc: 0.803485, test avg acc: 0.738750
Train 69, loss: 1.853418, train acc: 0.776771, train avg acc: 0.662227
Test 69, loss: 1.719931, test acc: 0.824149, test avg acc: 0.743581
Train 70, loss: 1.847882, train acc: 0.781861, train avg acc: 0.670612
Test 70, loss: 1.711597, test acc: 0.838331, test avg acc: 0.757785
Train 71, loss: 1.853910, train acc: 0.777993, train avg acc: 0.662571
Test 71, loss: 1.707812, test acc: 0.842382, test avg acc: 0.772233
Train 72, loss: 1.853513, train acc: 0.773310, train avg acc: 0.663607
Test 72, loss: 1.847838, test acc: 0.758509, test avg acc: 0.681901
Train 73, loss: 1.852176, train acc: 0.777280, train avg acc: 0.670679
Test 73, loss: 1.751389, test acc: 0.818071, test avg acc: 0.743006
Train 74, loss: 1.853778, train acc: 0.774939, train avg acc: 0.663831
Test 74, loss: 1.726142, test acc: 0.818882, test avg acc: 0.758372
Train 75, loss: 1.853795, train acc: 0.777993, train avg acc: 0.667661
Test 75, loss: 1.778099, test acc: 0.827796, test avg acc: 0.784198
Train 76, loss: 1.852791, train acc: 0.776873, train avg acc: 0.666478
Test 76, loss: 1.711132, test acc: 0.822934, test avg acc: 0.740099
Train 77, loss: 1.844485, train acc: 0.782471, train avg acc: 0.671559
Test 77, loss: 1.727504, test acc: 0.820097, test avg acc: 0.736901
Train 78, loss: 1.842087, train acc: 0.781352, train avg acc: 0.671440
Test 78, loss: 1.825682, test acc: 0.801459, test avg acc: 0.751924
Train 79, loss: 1.845234, train acc: 0.779011, train avg acc: 0.667579
Test 79, loss: 1.707797, test acc: 0.828201, test avg acc: 0.741872
Train 80, loss: 1.848917, train acc: 0.776466, train avg acc: 0.665709
Test 80, loss: 1.706808, test acc: 0.837115, test avg acc: 0.764901
Train 81, loss: 1.843953, train acc: 0.778502, train avg acc: 0.665229
Test 81, loss: 1.699967, test acc: 0.841572, test avg acc: 0.780587
Train 82, loss: 1.841690, train acc: 0.780436, train avg acc: 0.671481
Test 82, loss: 1.731656, test acc: 0.829822, test avg acc: 0.764273
Train 83, loss: 1.836269, train acc: 0.778196, train avg acc: 0.666169
Test 83, loss: 1.701582, test acc: 0.826580, test avg acc: 0.744151
Train 84, loss: 1.837549, train acc: 0.781352, train avg acc: 0.674324
Test 84, loss: 1.705108, test acc: 0.830227, test avg acc: 0.741366
Train 85, loss: 1.842429, train acc: 0.782370, train avg acc: 0.677301
Test 85, loss: 1.729737, test acc: 0.833468, test avg acc: 0.764186
Train 86, loss: 1.829728, train acc: 0.790004, train avg acc: 0.684973
Test 86, loss: 1.734410, test acc: 0.818476, test avg acc: 0.758919
Train 87, loss: 1.826129, train acc: 0.785322, train avg acc: 0.678343
Test 87, loss: 1.724091, test acc: 0.830227, test avg acc: 0.774250
Train 88, loss: 1.827695, train acc: 0.787357, train avg acc: 0.680123
Test 88, loss: 1.658504, test acc: 0.869935, test avg acc: 0.786971
Train 89, loss: 1.846665, train acc: 0.775143, train avg acc: 0.664648
Test 89, loss: 1.714778, test acc: 0.838331, test avg acc: 0.766465
Train 90, loss: 1.821450, train acc: 0.787968, train avg acc: 0.676112
Test 90, loss: 1.720466, test acc: 0.829011, test avg acc: 0.773006
Train 91, loss: 1.826887, train acc: 0.791429, train avg acc: 0.687983
Test 91, loss: 1.667308, test acc: 0.839546, test avg acc: 0.778151
Train 92, loss: 1.820409, train acc: 0.790309, train avg acc: 0.683614
Test 92, loss: 1.715758, test acc: 0.811994, test avg acc: 0.756628
Train 93, loss: 1.821654, train acc: 0.787256, train avg acc: 0.677221
Test 93, loss: 1.743886, test acc: 0.825770, test avg acc: 0.756878
Train 94, loss: 1.814213, train acc: 0.794992, train avg acc: 0.689518
Test 94, loss: 1.711054, test acc: 0.818882, test avg acc: 0.738320
Train 95, loss: 1.807035, train acc: 0.798046, train avg acc: 0.696466
Test 95, loss: 1.664479, test acc: 0.843598, test avg acc: 0.763802
Train 96, loss: 1.829756, train acc: 0.783591, train avg acc: 0.678719
Test 96, loss: 1.724112, test acc: 0.821313, test avg acc: 0.732977
Train 97, loss: 1.809314, train acc: 0.792447, train avg acc: 0.686780
Test 97, loss: 1.732846, test acc: 0.823339, test avg acc: 0.781570
Train 98, loss: 1.807772, train acc: 0.794483, train avg acc: 0.690806
Test 98, loss: 1.667067, test acc: 0.836710, test avg acc: 0.784151
Train 99, loss: 1.814684, train acc: 0.790615, train avg acc: 0.680606
Test 99, loss: 1.715204, test acc: 0.835900, test avg acc: 0.750512
Train 100, loss: 1.806749, train acc: 0.798555, train avg acc: 0.692653
Test 100, loss: 1.676900, test acc: 0.845624, test avg acc: 0.773209
Train 101, loss: 1.803186, train acc: 0.798249, train avg acc: 0.697586
Test 101, loss: 1.682008, test acc: 0.850891, test avg acc: 0.803733
Train 102, loss: 1.806548, train acc: 0.798351, train avg acc: 0.696204
Test 102, loss: 1.705324, test acc: 0.842382, test avg acc: 0.762616
Train 103, loss: 1.802656, train acc: 0.800387, train avg acc: 0.697822
Test 103, loss: 1.703107, test acc: 0.833063, test avg acc: 0.772977
Train 104, loss: 1.799241, train acc: 0.799064, train avg acc: 0.696068
Test 104, loss: 1.673943, test acc: 0.852917, test avg acc: 0.775308
Train 105, loss: 1.801851, train acc: 0.800387, train avg acc: 0.699853
Test 105, loss: 1.698182, test acc: 0.828201, test avg acc: 0.749017
Train 106, loss: 1.794215, train acc: 0.801099, train avg acc: 0.700211
Test 106, loss: 1.658391, test acc: 0.844003, test avg acc: 0.774541
Train 107, loss: 1.795440, train acc: 0.798351, train avg acc: 0.693150
Test 107, loss: 1.708816, test acc: 0.839141, test avg acc: 0.767326
Train 108, loss: 1.796440, train acc: 0.805375, train avg acc: 0.706191
Test 108, loss: 1.689913, test acc: 0.840357, test avg acc: 0.765227
Train 109, loss: 1.792361, train acc: 0.804866, train avg acc: 0.703649
Test 109, loss: 1.678168, test acc: 0.842788, test avg acc: 0.788506
Train 110, loss: 1.791776, train acc: 0.802423, train avg acc: 0.703221
Test 110, loss: 1.694071, test acc: 0.838331, test avg acc: 0.776128
Train 111, loss: 1.791321, train acc: 0.803848, train avg acc: 0.703500
Test 111, loss: 1.662908, test acc: 0.848460, test avg acc: 0.777076
Train 112, loss: 1.789911, train acc: 0.802728, train avg acc: 0.701570
Test 112, loss: 1.680240, test acc: 0.845219, test avg acc: 0.775221
Train 113, loss: 1.789316, train acc: 0.806393, train avg acc: 0.707232
Test 113, loss: 1.666973, test acc: 0.841572, test avg acc: 0.788099
Train 114, loss: 1.789853, train acc: 0.801812, train avg acc: 0.701528
Test 114, loss: 1.743476, test acc: 0.818882, test avg acc: 0.761948
Train 115, loss: 1.789684, train acc: 0.804764, train avg acc: 0.705897
Test 115, loss: 1.749398, test acc: 0.807536, test avg acc: 0.746587
Train 116, loss: 1.785729, train acc: 0.803950, train avg acc: 0.705816
Test 116, loss: 1.696043, test acc: 0.836305, test avg acc: 0.785384
Train 117, loss: 1.777361, train acc: 0.807512, train avg acc: 0.705430
Test 117, loss: 1.651071, test acc: 0.859806, test avg acc: 0.793105
Train 118, loss: 1.776895, train acc: 0.810973, train avg acc: 0.713460
Test 118, loss: 1.715329, test acc: 0.812399, test avg acc: 0.753314
Train 119, loss: 1.788466, train acc: 0.802728, train avg acc: 0.702842
Test 119, loss: 1.648265, test acc: 0.867504, test avg acc: 0.789610
Train 120, loss: 1.769198, train acc: 0.812398, train avg acc: 0.717365
Test 120, loss: 1.687814, test acc: 0.838736, test avg acc: 0.779052
Train 121, loss: 1.775329, train acc: 0.811787, train avg acc: 0.714110
Test 121, loss: 1.672601, test acc: 0.851702, test avg acc: 0.794831
Train 122, loss: 1.772825, train acc: 0.810973, train avg acc: 0.713277
Test 122, loss: 1.686975, test acc: 0.826175, test avg acc: 0.772378
Train 123, loss: 1.766609, train acc: 0.811686, train avg acc: 0.716781
Test 123, loss: 1.697861, test acc: 0.833468, test avg acc: 0.786674
Train 124, loss: 1.766488, train acc: 0.814332, train avg acc: 0.719547
Test 124, loss: 1.676873, test acc: 0.846029, test avg acc: 0.779884
Train 125, loss: 1.774070, train acc: 0.808632, train avg acc: 0.713872
Test 125, loss: 1.703721, test acc: 0.834279, test avg acc: 0.782436
Train 126, loss: 1.769173, train acc: 0.810770, train avg acc: 0.713309
Test 126, loss: 1.637465, test acc: 0.863047, test avg acc: 0.785802
Train 127, loss: 1.770722, train acc: 0.814739, train avg acc: 0.716267
Test 127, loss: 1.696649, test acc: 0.846840, test avg acc: 0.796744
Train 128, loss: 1.762646, train acc: 0.813823, train avg acc: 0.717047
Test 128, loss: 1.712064, test acc: 0.814425, test avg acc: 0.756907
Train 129, loss: 1.757781, train acc: 0.817691, train avg acc: 0.724042
Test 129, loss: 1.656835, test acc: 0.844814, test avg acc: 0.773017
Train 130, loss: 1.754833, train acc: 0.818709, train avg acc: 0.721026
Test 130, loss: 1.645237, test acc: 0.855754, test avg acc: 0.789605
Train 131, loss: 1.757801, train acc: 0.818404, train avg acc: 0.725437
Test 131, loss: 1.695865, test acc: 0.834684, test avg acc: 0.759105
Train 132, loss: 1.756567, train acc: 0.819829, train avg acc: 0.726317
Test 132, loss: 1.696429, test acc: 0.848460, test avg acc: 0.796767
Train 133, loss: 1.756838, train acc: 0.813823, train avg acc: 0.716934
Test 133, loss: 1.680249, test acc: 0.849271, test avg acc: 0.789599
Train 134, loss: 1.746728, train acc: 0.820033, train avg acc: 0.727395
Test 134, loss: 1.636150, test acc: 0.867099, test avg acc: 0.801093
Train 135, loss: 1.750962, train acc: 0.815757, train avg acc: 0.718526
Test 135, loss: 1.651246, test acc: 0.849271, test avg acc: 0.779279
Train 136, loss: 1.747159, train acc: 0.818913, train avg acc: 0.724674
Test 136, loss: 1.717318, test acc: 0.843193, test avg acc: 0.786035
Train 137, loss: 1.748194, train acc: 0.822068, train avg acc: 0.728456
