Namespace(batch_size=32, dataset='modelnet40', dropout=0.0, emb_dims=1024, epochs=250, eval=False, exp_name='ognet_1024_small_d0', k=20, lr=0.001, model='ognet-small', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Train 118, loss: 1.382798, train acc: 0.961421, train avg acc: 0.943359
Test 118, loss: 1.511233, test acc: 0.903160, test avg acc: 0.873593
Train 119, loss: 1.385532, train acc: 0.959894, train avg acc: 0.939205
Test 119, loss: 1.521874, test acc: 0.901540, test avg acc: 0.865349
Train 120, loss: 1.378263, train acc: 0.962337, train avg acc: 0.945404
Test 120, loss: 1.519205, test acc: 0.895057, test avg acc: 0.858140
Train 121, loss: 1.387525, train acc: 0.961116, train avg acc: 0.941540
Test 121, loss: 1.505337, test acc: 0.895867, test avg acc: 0.848930
Train 122, loss: 1.380233, train acc: 0.961421, train avg acc: 0.941099
Test 122, loss: 1.503600, test acc: 0.904781, test avg acc: 0.865308
Train 123, loss: 1.377856, train acc: 0.964068, train avg acc: 0.945271
Test 123, loss: 1.499921, test acc: 0.911669, test avg acc: 0.877122
Train 124, loss: 1.380918, train acc: 0.961828, train avg acc: 0.943987
Test 124, loss: 1.492530, test acc: 0.920178, test avg acc: 0.893744
Train 125, loss: 1.376452, train acc: 0.964678, train avg acc: 0.947240
Test 125, loss: 1.509617, test acc: 0.899514, test avg acc: 0.867756
Train 126, loss: 1.372624, train acc: 0.965594, train avg acc: 0.950436
Test 126, loss: 1.505795, test acc: 0.908428, test avg acc: 0.876866
Train 127, loss: 1.370753, train acc: 0.967121, train avg acc: 0.951953
Test 127, loss: 1.488264, test acc: 0.917747, test avg acc: 0.884959
Train 128, loss: 1.371812, train acc: 0.964780, train avg acc: 0.947371
Test 128, loss: 1.517639, test acc: 0.897083, test avg acc: 0.861506
Train 129, loss: 1.370167, train acc: 0.967427, train avg acc: 0.949880
Test 129, loss: 1.499583, test acc: 0.899109, test avg acc: 0.870215
Train 130, loss: 1.371151, train acc: 0.966307, train avg acc: 0.950157
Test 130, loss: 1.517876, test acc: 0.898703, test avg acc: 0.871174
Train 131, loss: 1.369670, train acc: 0.967325, train avg acc: 0.951094
Test 131, loss: 1.487498, test acc: 0.916937, test avg acc: 0.880576
Train 132, loss: 1.364348, train acc: 0.968037, train avg acc: 0.951784
Test 132, loss: 1.507170, test acc: 0.909238, test avg acc: 0.876628
Train 133, loss: 1.364726, train acc: 0.969768, train avg acc: 0.956599
Test 133, loss: 1.495686, test acc: 0.912885, test avg acc: 0.886657
Train 134, loss: 1.362233, train acc: 0.969361, train avg acc: 0.953432
Test 134, loss: 1.508201, test acc: 0.901945, test avg acc: 0.870390
Train 135, loss: 1.367379, train acc: 0.966612, train avg acc: 0.950300
Test 135, loss: 1.490156, test acc: 0.912480, test avg acc: 0.886837
Train 136, loss: 1.360787, train acc: 0.969564, train avg acc: 0.955493
Test 136, loss: 1.488738, test acc: 0.918558, test avg acc: 0.885884
Train 137, loss: 1.359692, train acc: 0.969157, train avg acc: 0.955814
Test 137, loss: 1.481126, test acc: 0.911669, test avg acc: 0.877041
Train 138, loss: 1.358534, train acc: 0.970379, train avg acc: 0.955146
Test 138, loss: 1.507531, test acc: 0.899514, test avg acc: 0.873331
Train 139, loss: 1.359233, train acc: 0.968750, train avg acc: 0.953374
Test 139, loss: 1.479381, test acc: 0.916937, test avg acc: 0.888006
Train 140, loss: 1.356163, train acc: 0.971091, train avg acc: 0.957478
Test 140, loss: 1.486814, test acc: 0.914911, test avg acc: 0.888000
Train 141, loss: 1.354116, train acc: 0.971091, train avg acc: 0.956404
Test 141, loss: 1.491608, test acc: 0.914911, test avg acc: 0.878157
