Namespace(batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='ognet_1024', k=20, lr=0.001, model='ognet', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 2 devices
Namespace(batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='ognet_1024', k=20, lr=0.001, model='ognet', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 2 devices
Namespace(batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='ognet_1024', k=20, lr=0.001, model='ognet', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 2 devices
Train 68, loss: 1.566002, train acc: 0.907573, train avg acc: 0.860973
Test 68, loss: 1.565654, test acc: 0.878039, test avg acc: 0.844634
Train 69, loss: 1.569187, train acc: 0.902993, train avg acc: 0.857566
Test 69, loss: 1.551968, test acc: 0.896272, test avg acc: 0.838180
Train 70, loss: 1.568724, train acc: 0.902993, train avg acc: 0.853389
Test 70, loss: 1.562819, test acc: 0.883712, test avg acc: 0.846215
Train 71, loss: 1.558033, train acc: 0.909406, train avg acc: 0.862077
Test 71, loss: 1.548719, test acc: 0.895867, test avg acc: 0.865424
Train 72, loss: 1.552836, train acc: 0.914393, train avg acc: 0.872066
Test 72, loss: 1.573075, test acc: 0.884522, test avg acc: 0.839547
Train 73, loss: 1.552302, train acc: 0.914190, train avg acc: 0.871040
Test 73, loss: 1.582530, test acc: 0.883712, test avg acc: 0.840320
Train 74, loss: 1.561808, train acc: 0.905130, train avg acc: 0.857275
Test 74, loss: 1.570881, test acc: 0.891815, test avg acc: 0.857529
Train 75, loss: 1.551316, train acc: 0.911849, train avg acc: 0.865320
Test 75, loss: 1.555107, test acc: 0.893031, test avg acc: 0.850442
Train 76, loss: 1.552380, train acc: 0.912968, train avg acc: 0.869360
Test 76, loss: 1.545390, test acc: 0.896272, test avg acc: 0.859023
Train 77, loss: 1.548569, train acc: 0.913681, train avg acc: 0.867717
Test 77, loss: 1.554474, test acc: 0.905997, test avg acc: 0.869517
Train 78, loss: 1.552489, train acc: 0.907675, train avg acc: 0.863280
Test 78, loss: 1.565704, test acc: 0.894246, test avg acc: 0.858901
Train 79, loss: 1.539928, train acc: 0.914597, train avg acc: 0.870281
Test 79, loss: 1.542982, test acc: 0.890600, test avg acc: 0.857802
Train 80, loss: 1.545747, train acc: 0.912561, train avg acc: 0.866419
Test 80, loss: 1.555147, test acc: 0.891410, test avg acc: 0.844988
Train 81, loss: 1.541591, train acc: 0.915411, train avg acc: 0.875357
Test 81, loss: 1.528158, test acc: 0.899514, test avg acc: 0.854640
Train 82, loss: 1.532529, train acc: 0.917752, train avg acc: 0.876353
Test 82, loss: 1.548481, test acc: 0.892220, test avg acc: 0.857738
Train 83, loss: 1.535299, train acc: 0.917752, train avg acc: 0.877988
Test 83, loss: 1.532761, test acc: 0.899514, test avg acc: 0.859465
Train 84, loss: 1.530051, train acc: 0.918465, train avg acc: 0.876327
Test 84, loss: 1.550938, test acc: 0.899919, test avg acc: 0.861477
Train 85, loss: 1.537108, train acc: 0.918160, train avg acc: 0.875993
Test 85, loss: 1.590458, test acc: 0.880470, test avg acc: 0.837099
Train 86, loss: 1.536455, train acc: 0.915818, train avg acc: 0.873737
Test 86, loss: 1.532765, test acc: 0.906807, test avg acc: 0.859279
Train 87, loss: 1.530897, train acc: 0.917651, train avg acc: 0.877396
Test 87, loss: 1.548958, test acc: 0.886953, test avg acc: 0.843302
Train 88, loss: 1.530503, train acc: 0.918261, train avg acc: 0.875949
Test 88, loss: 1.534290, test acc: 0.902755, test avg acc: 0.857314
Train 89, loss: 1.516933, train acc: 0.922435, train avg acc: 0.882651
Test 89, loss: 1.548729, test acc: 0.901135, test avg acc: 0.859203
Train 90, loss: 1.514008, train acc: 0.925590, train avg acc: 0.888756
Test 90, loss: 1.532480, test acc: 0.900324, test avg acc: 0.853890
Train 91, loss: 1.523650, train acc: 0.921621, train avg acc: 0.879663
Test 91, loss: 1.540664, test acc: 0.891815, test avg acc: 0.855535
Train 92, loss: 1.514569, train acc: 0.922333, train avg acc: 0.884842
Test 92, loss: 1.536814, test acc: 0.902755, test avg acc: 0.860209
Train 93, loss: 1.507556, train acc: 0.927423, train avg acc: 0.889942
Test 93, loss: 1.541559, test acc: 0.892626, test avg acc: 0.849343
Train 94, loss: 1.514462, train acc: 0.919992, train avg acc: 0.879611
Test 94, loss: 1.586820, test acc: 0.884117, test avg acc: 0.851820
Train 95, loss: 1.516094, train acc: 0.924674, train avg acc: 0.888287
Test 95, loss: 1.533451, test acc: 0.893031, test avg acc: 0.857308
Train 96, loss: 1.503588, train acc: 0.928441, train avg acc: 0.895071
Test 96, loss: 1.527054, test acc: 0.905186, test avg acc: 0.862041
Train 97, loss: 1.509857, train acc: 0.924674, train avg acc: 0.888063
